fspace_hash,fsspace_hash,nfeatures,features,targets
1309572083,-1853847824,10,"{{-12.855359365938275,-3.0566422491165044,-0.4200593812760278,-12.367328027087364,-3.8684411934961305,-6.181818246878414,-3.5996482927643294,-0.8979803709043145,-1.149159459975536,-8.591496315572094}}",{5.14166355650266}
1309572083,1118789888,11,"{{-3.0566422491165044,-9.210340371976182,-0.4200593812760278,-12.367328027087364,-3.8684411934961305,-6.181818246878414,-3.5996482927643294,-0.8979803709043145,-1.149159459975536,-0.010152371464017962,-8.591496315572094}}",{1.791759469228055}
1869121075,1809127019,19,"{{-4.558081010582819,-1.3862943611198906,-11.806862931584517,-0.5689480668852999,-3.4965075614664802,-1.3862943611198906,-3.809165600500689,-1.3862943611198906,-4.727387818712341,-0.5586983238359531,-14.959841313840421,-9.597641509456675,-2.4849066497880004,-1.460443378791355,-1.3862943611198906,-4.727387818712341,-14.959841313840421,-2.4849066497880004,-11.915384587863521}}",{0}
-128493435,-175391330,2,"{{-14.742975821546908,-1.8628594276924355}}",{0}
-433191473,-1293883197,6,"{{-14.959841313840421,-2.3978952727983707,-2.4849066497880004,-1.460443378791355,-0.5976602103105778,-3.7737113717016606}}",{17.315381819479686}
-680379475,675726404,1,{{-13.782681534372943}},{4.066265503465361}
-379958762,1062760712,2,"{{-9.727421389904682,-9.597641509456675}}",{13.725128415413083}
-1535781493,-1957354212,4,"{{-9.077078618070912e-05,-15.242798338910262,-0.8690945747193406,-1.2854969272192156}}",{0}
-1831630628,254174745,1,{{-2.4849066497880004}},{0}
1057419857,843076932,3,"{{-12.367328027087364,-1.018046664056702,-14.742975821546908}}",{13.958569667400754}
1743226342,537187724,6,"{{-0.6931471805599453,-0.6931471805599453,-2.772588722239781,-1.3862943611198906,-11.338786340583832,-8.047189562170502}}",{5.54907608489522}
-128493435,1899871027,4,"{{-9.210340371976182,-14.742975821546908,-1.8628594276924355,-9.597641509456675}}",{6.003887067106539}
1309572083,-1053585531,2,"{{-6.181818246878414,-13.782681534372943}}",{3.258096538021482}
-1535781493,-248828393,1,{{-11.157235749819899}},{4.7916767617325915}
-433191473,-1685892539,4,"{{-2.3978952727983707,-2.4849066497880004,-13.782681534372943,-3.7737113717016606}}",{13.069015341902404}
1309572083,-700754280,2,"{{-2.4849066497880004,-2.4849066497880004}}",{0}
1336070322,-1165079960,0,,{14.743062444355063}
-433191473,-843638112,7,"{{-14.959841313840421,-2.3978952727983707,-2.4849066497880004,-1.460443378791355,-15.242798338910262,-0.5976602103105778,-3.7737113717016606},{-15.68296677242696,-2.3978952727983707,-2.4849066497880004,-1.460443378791355,-15.242798338910262,-0.5976602103105778,-3.7737113717016606}}","{12.489961281993056,12.489961281993056}"
-1535781493,1367988909,6,"{{-12.855359365938275,-4.727387818712341,-3.0910424533583156,0,-0.2547736274222259,-3.5166088657455363},{-12.855361427564924,-4.727387818712341,-4.727387818712341,0,-0.2547736274222259,-3.5166088657455363}}","{11.197927007512344,11.197927007512344}"
1057419857,538515685,0,,{14.774527007128047}
-433191473,13164706,1,{{-1.460443378791355}},{13.776307044663074}
1309572083,-779322205,3,"{{-9.210340371976182,-15.242798338910262,-0.010152371464017962}}",{0}
-1535781493,1949498238,1,{{-9.690851107739814}},{0}
1336070322,538515685,0,,{14.774527007128047}
767041607,-698156990,16,"{{-0.09412907198595906,-1.3862943611198906,-1.3862943611198906,-11.806862931584517,-2.890371757896165,-0.20137569704042496,-1.3862943611198906,-0.11055918996513683,-1.3862943611198906,-0.7175764855574894,-2.839820495321409,-8.047189562170502,-1.0124094052603678,-12.367328027087364,-1.3862943611198906,-11.806862931584517}}",{6.610696044717759}
1057419857,1970929619,1,{{-1.018046664056702}},{11.34855776873237}
1057419857,-768578233,2,"{{-12.367328027087364,-1.018046664056702}}",{13.958569667400754}
-1535781493,378168279,3,"{{-14.742975821546908,-0.20137569704042496,-0.25524763645019544}}",{0}
1336070322,1970929619,1,{{-1.018046664056702}},{11.34855776873237}
1057419857,-1165079960,0,,{14.743062444355063}
1057419857,254174745,1,{{-2.4849066497880004}},{0}
1057419857,-591672199,0,,{15.242824734036668}
-1584360744,-1618740028,1,{{-12.855359365938275}},{0}
31318540,2630982,5,"{{-10.795669153638222,-15.242798338910262,-9.597641509456675,-9.210340371976182,-9.727421389904682},{-0.5976602103105778,-15.242798338910262,-9.597641509456675,-9.210340371976182,-9.727421389904682},{-0.5976602103105778,-11.157235749819899,-11.806862931584517,-9.210340371976182,-9.727421389904682}}","{2.4849066497880004,4.477336814478207,4.477336814478207}"
-379958762,509109659,7,"{{-9.727421389904682,-1.3862943611198906,-9.210340371976182,-8.517243192666278,-14.959841313840421,-0.00010000500033334732,-9.597641509456675},{-9.727421389904682,-1.3862943611198906,-9.210340371976182,-8.517243192666278,-10.743195326202532,-0.00010000500033334732,-11.806862931584517}}","{3.4965075614664802,3.4965075614664802}"
-379958762,1301234707,5,"{{-9.727421389904682,-8.517243192666278,-14.959841313840421,-0.00010000500033334732,-9.597641509456675},{-9.727421389904682,-8.517243192666278,-10.743195326202532,-0.00010000500033334732,-11.806862931584517}}","{3.4965075614664802,3.4965075614664802}"
-993550030,2014102173,3,"{{-12.855359365938275,-1.460443378791355,-9.210340371976182},{-15.242798338910262,-1.460443378791355,-9.210340371976182}}","{7.16703787691222,7.16703787691222}"
-42908418,107707022,0,,{13.711641152271442}
-993550030,-1618740028,1,{{-12.855359365938275}},{0}
-1831240827,538515685,0,,{14.774527007128047}
1869121075,1763442347,21,"{{-4.558081010582819,-1.3862943611198906,-11.806862931584517,-0.5689480668852999,-4.727387818712341,-3.4965075614664802,-1.3862943611198906,-3.809165600500689,-1.3862943611198906,-4.727387818712341,-0.5586983238359531,-14.959841313840421,-9.597641509456675,-2.4849066497880004,-1.460443378791355,-4.727387818712341,-1.3862943611198906,-4.727387818712341,-14.959841313840421,-2.4849066497880004,-11.915384587863521}}",{0}
-1831630628,2085933086,10,"{{-9.210340371976182,-2.4849066497880004,-12.367328027087364,-3.8684411934961305,-6.181818246878414,-3.5996482927643294,-1.149159459975536,-0.010152371464017962,-13.082003775963914,-2.4849066497880004}}",{4.127134385045092}
